Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,Name.1,Team.1,Season,Age,G.1,AB,PA.1,H,1B,2B,3B,HR.1,R.1,RBI.1,BB,IBB,SO,HBP,SF,SH,GDP,SB.1,CS,AVG.1,GB,FB,LD,IFFB,Pitches,Balls,Strikes,IFH,BU,BUH,BB%.1,K%.1,BB/K,OBP.1,SLG.1,OPS,ISO.1,BABIP.1,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,wOBA.1,wRAA,wRC,Bat,Fld,Rep,Pos,RAR,WAR.1,Dol,Spd,wRC+.1,WPA,-WPA,+WPA,RE24,REW,pLI,phLI,PH,WPA/LI,Clutch,FB%.1,FBv,SL%,SLv,CT%,CTv,CB%,CBv,CH%,CHv,SF%,SFv,KN%,KNv,XX%,PO%,wFB,wSL,wCT,wCB,wCH,wSF,wKN,wFB/C,wSL/C,wCT/C,wCB/C,wCH/C,wSF/C,wKN/C,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,BsR.1,FA% (sc),FT% (sc),FC% (sc),FS% (sc),FO% (sc),SI% (sc),SL% (sc),CU% (sc),KC% (sc),EP% (sc),CH% (sc),SC% (sc),KN% (sc),UN% (sc),vFA (sc),vFT (sc),vFC (sc),vFS (sc),vFO (sc),vSI (sc),vSL (sc),vCU (sc),vKC (sc),vEP (sc),vCH (sc),vSC (sc),vKN (sc),FA-X (sc),FT-X (sc),FC-X (sc),FS-X (sc),FO-X (sc),SI-X (sc),SL-X (sc),CU-X (sc),KC-X (sc),EP-X (sc),CH-X (sc),SC-X (sc),KN-X (sc),FA-Z (sc),FT-Z (sc),FC-Z (sc),FS-Z (sc),FO-Z (sc),SI-Z (sc),SL-Z (sc),CU-Z (sc),KC-Z (sc),EP-Z (sc),CH-Z (sc),SC-Z (sc),KN-Z (sc),wFA (sc),wFT (sc),wFC (sc),wFS (sc),wFO (sc),wSI (sc),wSL (sc),wCU (sc),wKC (sc),wEP (sc),NameASCII,PlayerId,MLBAMID,date,wCH (sc),wSC (sc),wKN (sc),wFA/C (sc),wFT/C (sc),wFC/C (sc),wFS/C (sc),wFO/C (sc),wSI/C (sc),wSL/C (sc),wCU/C (sc),wKC/C (sc),wEP/C (sc),wCH/C (sc),wSC/C (sc),wKN/C (sc),O-Swing% (sc),Z-Swing% (sc),Swing% (sc),O-Contact% (sc),Z-Contact% (sc),Contact% (sc),Zone% (sc),Pace,Def.1,wSB,UBR,Age Rng,Off.1,Lg,wGDP,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,TTO%,CH% (pi),CS% (pi),CU% (pi),FA% (pi),FC% (pi),FS% (pi),KN% (pi),SB% (pi),SI% (pi),SL% (pi),XX% (pi),vCH (pi),vCS (pi),vCU (pi),vFA (pi),vFC (pi),vFS (pi),vKN (pi),vSB (pi),vSI (pi),vSL (pi),vXX (pi),CH-X (pi),CS-X (pi),CU-X (pi),FA-X (pi),FC-X (pi),FS-X (pi),KN-X (pi),SB-X (pi),SI-X (pi),SL-X (pi),XX-X (pi),CH-Z (pi),CS-Z (pi),CU-Z (pi),FA-Z (pi),FC-Z (pi),FS-Z (pi),KN-Z (pi),SB-Z (pi),SI-Z (pi),SL-Z (pi),XX-Z (pi),wCH (pi),wCS (pi),wCU (pi),wFA (pi),wFC (pi),wFS (pi),wKN (pi),wSB (pi),wSI (pi),wSL (pi),wXX (pi),wCH/C (pi),wCS/C (pi),wCU/C (pi),wFA/C (pi),wFC/C (pi),wFS/C (pi),wKN/C (pi),wSB/C (pi),wSI/C (pi),wSL/C (pi),wXX/C (pi),O-Swing% (pi),Z-Swing% (pi),Swing% (pi),O-Contact% (pi),Z-Contact% (pi),Contact% (pi),Zone% (pi),Pace (pi),FRM,AVG+,BB%+,K%+,OBP+,SLG+,ISO+,BABIP+,LD+%,GB%+,FB%+,HR/FB%+,Pull%+,Cent%+,Oppo%+,Soft%+,Med%+,Hard%+,EV,LA,Barrels,Barrel%,maxEV,HardHit,HardHit%,Events,CStr%,CSW%,xBA,xSLG,xwOBA.1,L-WAR,PPTV,CPTV,BPTV,DSV,DGV,BTV,wPPTV,wCPTV,wBPTV,wDSV,wDGV,wBTV,EBV,ESV,wOppTeamV,wTeamV,wNetBatV,TG,Bats,Fantasy,$,FPTS,FPTS/G,SPTS,SPTS/G,XBR,W,ERA,SV,BS,IP,HR/9,BK,BB/9,K/BB,tERA,W.1,L,ERA.1,GS,CG,ShO,SV.1,BS.1,IP.1,TBF,ER,HBP.1,WP,BK.1,RS,BU.1,BUH.1,K/9,BB/9.1,K/BB.1,H/9,HR/9.1,WHIP,LOB%,FIP,IFFB%.1,Starting,Start-IP,Relieving,Relief-IP,RAR.1,Dollars,tERA.1,xFIP,inLI,gmLI,exLI,Pulls,Zone%.1,HLD,SD,MD,ERA-,FIP-,xFIP-,SIERA,RS/9,E-F
Anthony Rizzo,NYY,1,4.0,0,0,0.0,0.0,0.0,0.25,0.0,0.666666666,0.5,0.5,0.5,0.4408553540706634,,193.8910271491831,-0.0379645992070436,0.3917594792219242,-0.055935189127922,0.0484948928441559,Anthony Rizzo,NYY,2024.0,34.0,1.0,4.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,2.0,0.0,1.0,0.0,12.0,2.0,10.0,0.0,0.0,0.0,0.0,0.25,0.0,0.5,0.5,1.0,0.0,0.666666666,2.0,0.333333333,0.666666666,0.0,0.0,0.0,0.0,0.0,0.4408553540706634,0.4207047333838781,0.8886170199038824,0.4297240784289678,0.0173768028616905,0.1209479197859764,-0.0733119919896125,0.4695580841871342,0.0484948928441559,0.3879591427532475,0.14285714,193.8910271491831,-0.0305400229990482,-0.0910039842128753,0.0604639574885368,-0.4729999303817749,-0.049117337912321,1.0371999740600586,,0.0,-4.67311365355e-05,-0.0293979504705234,0.58333333,93.42857143,0.41666667,80.8,,,,,,,,,,,,,0.658487856388092,-0.208979845046997,,,,,,9.406969376972745,-4.179596900939941,,,,,,0.6,0.57142857,0.58333333,0.66666667,1.0,0.85714286,0.58333333,0.75,0.08333333,-0.0379645992070436,0.33333333,,,,,0.25,0.41666667,,,,,,,,93.0999984741211,,,,,93.56667073567708,80.85999755859375,,,,,,,6.45167350769043,,,,,10.189961751302084,-5.829174423217774,,,,,,,8.13197135925293,,,,,4.284395853678386,1.168095874786377,,,,,,,0.2961286455392837,,,,,0.3738755732774734,-0.2115437164902687,,,,Anthony Rizzo,3473,519203,2024-04-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Giancarlo Stanton,NYY,1,4.0,0,0,1.0,0.0,0.0,0.0,0.25,0.25,0.25,0.25,0.5,0.3136115372180938,,104.38512784442938,-0.0319057926535606,-0.0118357702141798,-0.102611668407917,0.0019918510050599,Giancarlo Stanton,NYY,2024.0,34.0,1.0,4.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1.0,1.0,2.0,0.0,15.0,3.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.5,0.75,0.25,0.25,1.0,0.5,0.25,0.25,0.0,0.0,0.0,0.0,0.3136115372180938,0.011050677394291,0.4789629639142953,0.0200700224393807,,0.1209479197859764,-0.102611668407917,0.0192863554710351,0.0019918510050599,0.0159348080404792,0.14285714,104.38512784442938,0.0011119879782199,-0.1252280175685882,0.1263400018215179,-0.332999974489212,-0.034579437226057,1.402500033378601,,0.0,-0.0217692982405424,0.0225621595252164,0.46666667,93.57142857,0.26666667,83.25,,,,,0.26666667,85.25,,,,,,,-0.0112078823149204,-0.2887389361858368,,,0.2298261523246765,,,-0.1601126044988632,-7.21847340464592,,,5.745653808116913,,,0.66666667,0.83333333,0.73333333,1.0,1.0,1.0,0.4,1.0,0.0,-0.0319057926535606,0.46666667,,,0.26666667,,,0.26666667,,,,,,,,93.5142822265625,,,85.17500305175781,,,83.3499984741211,,,,,,,5.871358598981585,,,5.7247843742370605,,,3.5636186599731445,,,,,,,8.261635916573661,,,3.663776159286499,,,-0.7812464237213135,,,,,,,-0.0107701197266578,,,0.2300261557102203,,,-0.3343403674662113,,,,Giancarlo Stanton,4949,519317,2024-04-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Justin Turner,TOR,1,4.0,0,0,0.0,0.0,0.25,0.25,0.333333334,1.0,0.666666666,0.75,1.0,0.7063218951225281,,381.9799315491595,-0.0323416851460933,1.2582349535341268,-0.0978744896128773,0.1336511168395393,Justin Turner,TOR,2024.0,39.0,1.0,3.0,4.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.666666666,0.0,0.0,2.0,0.0,21.0,5.0,16.0,0.0,0.0,0.0,0.25,0.25,1.0,0.75,1.0,1.75,0.333333334,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7063218951225281,1.275358798008681,1.7432710845286852,1.2905766386802202,-0.0021473290398716,0.1209479197859764,-0.0957271605730056,1.2940942580143815,0.1336511168395393,1.0692089347163147,0.14285714,381.9799315491595,-0.0071180025115609,-0.0230960026383399,0.0159780010581016,0.3559999465942383,0.0376122519373893,0.3183500170707702,,0.0,0.0905072093009948,-0.1128662547851311,0.71428571,98.06666667,0.14285714,87.0,0.04761905,90.0,0.04761905,82.0,,,0.04761905,90.0,,,,,0.762617290019989,-0.0724043697118759,0.5028685927391052,0.0,,0.0879258811473846,,5.084115266799927,-2.413478990395864,50.28685927391052,0.0,,8.792588114738464,,0.33333333,0.66666667,0.52380952,0.66666667,1.0,0.90909091,0.57142857,0.5,0.04761905,-0.0323416851460933,0.61904762,,,0.04761905,,0.0952381,0.19047619,,0.04761905,,,,,,98.25384990985576,,,89.80000305175781,,96.5500030517578,88.10000610351562,,81.80000305175781,,,,,-4.926600529597356,,,-6.460875511169434,,-9.099347114562988,3.188966751098633,,5.890246868133545,,,,,10.93911860539363,,,1.6432310342788696,,6.790348529815674,-0.941013753414154,,-9.70280933380127,,,,,-0.0860748961567878,,,0.0897959321737289,,0.8596717119216919,0.4374828450381756,,0.0,,Justin Turner,5235,457759,2024-04-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robbie Grossman,CHW,1,5.0,0,1,0.0,0.0,0.2,0.0,0.0,0.5,0.5,0.6,0.5,0.4905104279518127,,228.31450139526268,-0.0226417967351153,0.7114516589358444,-0.2630991637706756,0.063569481034182,Robbie Grossman,CHW,2024.0,34.0,1.0,4.0,5.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,3.0,0.0,1.0,0.0,21.0,9.0,12.0,0.0,0.0,0.0,0.2,0.0,1.0,0.6,0.5,1.1,0.0,0.5,3.0,0.25,0.75,0.0,0.0,0.0,0.0,0.0,0.4905104279518127,0.7257079389678309,1.3105982971178365,0.7340934556709597,-0.2107510715723037,0.1511848997324705,-0.0523480921983718,0.6155197377815838,0.063569481034182,0.508555848273456,1.60119047125,228.31450139526268,0.004119980148971,-0.0515120029449462,0.0556319840252399,0.4029999673366546,0.0425105430185794,0.7066400051116943,,0.0,0.0574878714978694,-0.0516574909375163,0.47619048,93.6,0.23809524,80.4,0.19047619,86.75,,,0.0952381,82.5,,,,,,,0.2617918252944946,0.0429065451025962,-0.1113200634717941,,0.6242831945419312,,,2.6179182529449463,0.8581309020519257,-2.783001586794853,,31.21415972709656,,,0.15384615,0.625,0.33333333,1.0,1.0,1.0,0.38095238,0.6,0.0,-0.0226417967351153,0.47619048,,0.19047619,,,,0.23809524,,,,0.0952381,,,,93.65,,86.7249984741211,,,,80.27999877929688,,,,82.69999694824219,,,0.5903291702270508,,-1.8332115411758425,,,,-6.195074462890625,,,,-9.547019958496094,,,8.512557220458984,,3.516286373138428,,,,0.0504762887954711,,,,0.8758063316345215,,,0.2687551751732826,,-0.1124557442963123,,,,0.0445390455424785,,,,Robbie Grossman,5254,543257,2024-04-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aaron Hicks,LAA,1,4.0,0,1,0.0,0.0,0.25,0.25,0.0,0.5,0.333333333,0.5,0.333333333,0.3927103579044342,,158.2592137761315,0.0007514152675867,0.2673944344153665,-0.0938636139035224,0.0317335917788836,Aaron Hicks,LAA,2024.0,34.0,1.0,3.0,4.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333333333,1.0,1.0,0.0,0.0,21.0,8.0,13.0,0.0,0.0,0.0,0.25,0.25,1.0,0.5,0.333333333,0.833333333,0.0,0.5,1.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.3927103579044342,0.2657047228297256,0.7336170093497298,0.2666430191477798,-0.0372157506644725,0.1209479197859764,-0.0566478632390499,0.307264614604976,0.0317335917788836,0.253868734231069,2.64285714,158.2592137761315,0.0034920126199722,-0.0674819946289062,0.0709740072488784,0.0029999762773513,0.0003044074401259,0.9336400032043456,,0.0,0.0300377532839775,-0.0262975401311699,0.38095238,93.125,0.0952381,83.0,0.19047619,87.75,0.23809524,75.0,,,0.0952381,85.5,,,,,-0.1231660172343254,0.4868392944335937,-0.1320201009511947,0.3190303444862366,,-0.2512023150920868,,-1.5395752154290676,24.341964721679688,-3.300502523779869,6.3806068897247314,,-12.56011575460434,,0.18181818,0.6,0.38095238,0.5,1.0,0.875,0.47619048,0.75,0.04761905,0.0007514152675867,0.23809524,,0.28571429,0.0952381,,0.04761905,0.0952381,0.23809524,,,,,,,95.27999877929688,,87.68332926432292,85.44999694824219,,93.1999969482422,82.64999389648438,74.75999755859375,,,,,,-2.476584625244141,,1.843284289042155,-9.384902954101562,,-7.272796630859375,5.490321159362793,9.096554565429688,,,,,,10.350823974609376,,5.689125696818034,5.254837989807129,,6.900967121124268,0.9475350379943848,-7.4079338073730465,,,,,,-0.0278014913201332,,-0.0501318350434303,-0.2540981322526932,,-0.179726630449295,0.4941311329603195,0.3268729001283645,,,Aaron Hicks,5297,543305,2024-04-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Freddie Freeman,LAD,1,5.0,0,1,0.0,0.0,0.0,0.6,0.0,0.5,0.2,0.2,0.2,0.1763421416282654,,10.055307432348522,-0.0164458137005567,-0.5542285176440213,-0.0705476524308323,-0.0473142207276984,Freddie Freeman,LAD,2024.0,34.0,1.0,5.0,5.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2,2.0,0.0,0.0,0.0,25.0,9.0,16.0,0.0,0.0,0.0,0.0,0.6,0.0,0.2,0.2,0.4,0.0,0.5,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1763421416282654,-0.538600181646559,0.0462901765034463,-0.5377827039434645,0.0148054836317896,0.1511848997324705,-0.085353136062622,-0.4581260734218243,-0.0473142207276984,-0.3785137658215877,2.64285714,10.055307432348522,-0.0709159821271896,-0.0884119868278503,0.0174960028380155,-0.8980000019073486,-0.0941299796104431,0.6297600269317627,,0.0,-0.0947250202298164,-0.0178829242164157,0.44,95.63636364,0.08,87.5,0.32,90.25,0.12,85.0,,,0.04,86.0,,,,,0.3617808520793915,-0.2434262037277221,-1.332988739013672,0.0688154324889183,,0.0373910665512084,,3.288916837085377,-12.171310186386108,-16.6623592376709,2.2938477496306104,,3.7391066551208496,,0.16666667,0.69230769,0.44,1.0,0.77777778,0.81818182,0.52,0.4,0.08,-0.0164458137005567,0.44,,0.32,0.04,,,0.08,,0.12,,,,,,95.69090687144886,,90.1500015258789,85.9000015258789,,,87.5,,85.06667073567708,,,,,-5.143310546875,,1.7389349937438965,-7.914522647857666,,,0.9984992146492004,,0.5893721977869669,,,,,9.065622503107244,,4.265923023223877,-2.134559869766236,,,2.557867288589477,,-4.120052973429362,,,,,0.3687785528600216,,-1.354459561407566,0.0380783230066299,,,-0.2462983280420303,,0.0700974091887474,,Freddie Freeman,5361,518692,2024-04-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jose Altuve,HOU,1,5.0,0,1,0.0,0.0,0.2,0.2,0.0,0.333333333,0.25,0.4,0.25,0.3141682863235474,,106.32823797162165,-0.02179516851902,0.0144089863534349,-0.0399709185585379,0.014624674956769,Jose Altuve,HOU,2024.0,34.0,1.0,4.0,5.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1.0,1.0,1.0,0.0,20.0,9.0,11.0,0.0,0.0,0.0,0.2,0.2,1.0,0.4,0.25,0.65,0.0,0.333333333,1.0,0.333333333,0.333333333,0.333333333,0.0,0.0,0.0,0.0,0.3141682863235474,0.0160538733835596,0.6009442315335649,0.036204154872455,-0.051875602453947,0.1511848997324705,0.0119046838954091,0.141605310411312,0.014624674956769,0.116997399654152,2.64285714,106.32823797162165,-0.0512340329587459,-0.0951620191335678,0.0439279824495315,-0.2914000153541565,-0.0285266786813735,1.055440068244934,,0.0,-0.0390796884894371,-0.0094631274413071,0.45,95.55555556,0.1,80.5,0.1,93.0,0.25,82.0,0.1,85.5,,,,,,,0.1568234413862228,-0.0334886722266674,0.1317222863435745,-0.2549948990345001,0.0231754779815673,,,1.7424826820691426,-1.6744336113333702,6.586114317178726,-5.099897980690002,1.1587738990783691,,,0.3125,0.0,0.25,1.0,,1.0,0.2,0.6,0.0,-0.02179516851902,0.45,,0.1,,,,0.1,0.2,0.05,,0.1,,,,95.5,,93.0,,,,80.75,82.0250015258789,82.0,,85.05000305175781,,,2.830028322007921,,3.7941484451293945,,,,6.872239112854004,0.7632378935813904,-4.42323637008667,,9.60188102722168,,,8.824247572157118,,4.673323631286621,,,,0.2410555183887481,-0.399046927690506,-7.528245449066162,,7.625436782836914,,,0.1203031614422798,,0.1348792277276516,,,,-0.0337270088493824,-0.2030889689922332,-0.054773960262537,,Jose Altuve,5417,514888,2024-04-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martín Maldonado,CHW,1,4.0,0,0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,,-100.0,-0.0347365327179431,-1.0266315171401044,-0.0845982581377029,-0.1009535656173518,Martín Maldonado,CHW,2024.0,37.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,14.0,2.0,12.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9986033977846642,-0.53069111126466,-0.9918949844221612,-0.1752700954675674,0.1209479197859764,0.0906718373298645,-0.9774959811846752,-0.1009535656173518,-0.8076285249388151,0.14285714,-100.0,-0.096683993935585,-0.096683993935585,0.0,-1.0740000009536743,-0.1132911443710327,0.9002999663352966,,0.0,-0.1068117246031761,-0.000579142386568,0.5,91.57142857,0.5,78.57142857,,,,,,,,,,,,,-0.2425195127725601,-0.7029584646224976,,,,,,-3.4645644681794305,-10.042263780321392,,,,,,0.33333333,0.625,0.5,0.5,0.8,0.71428571,0.57142857,1.0,0.14285714,-0.0347365327179431,0.5,,,,,,0.5,,,,,,,,91.58571079799108,,,,,,78.54285539899554,,,,,,,0.1403642381940569,,,,,,1.9079080309186665,,,,,,,6.799380711146763,,,,,,2.219070707048689,,,,,,,-0.2451462708413601,,,,,,-0.711415596306324,,,,Martin Maldonado,6887,455117,2024-04-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salvador Perez,KCR,1,5.0,0,0,1.0,0.0,0.0,0.0,0.0,0.4,0.4,0.4,0.4,0.3526842832565308,,127.40734832244245,-0.0500497221946716,0.1067490403927521,0.0219990569166839,0.0305614644575622,Salvador Perez,KCR,2024.0,34.0,1.0,5.0,5.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,2.0,1.0,2.0,0.0,12.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.8,0.0,0.4,2.0,0.4,0.4,0.2,0.0,0.0,0.0,0.0,0.3526842832565308,0.1710538839377121,0.7559442420877174,0.1567987625874237,0.0165508361533284,0.1511848997324705,0.0054482207633554,0.295915339925851,0.0305614644575622,0.244491715660498,0.14285714,127.40734832244245,0.1322060078382492,-0.0919659957289695,0.2241720110177993,0.4949999451637268,0.0484581440687179,1.3542799949645996,,0.0,0.0307415686547756,0.0668793135334051,0.16666667,95.5,0.58333333,82.71428571,0.16666667,90.0,,,0.08333333,80.0,,,,,,,-0.0015246272087097,0.0413070656359195,0.463952898979187,,-0.2498232424259185,,,-0.0762313604354858,0.5901009376559939,23.19764494895935,,-24.98232424259185,,,0.66666667,0.5,0.58333333,1.0,1.0,1.0,0.5,1.0,0.0,-0.0500497221946716,0.16666667,,0.16666667,,,,0.58333333,,,,0.08333333,,,,95.35000610351562,,89.80000305175781,,,,82.78571428571429,,,,80.0,,,-3.675171375274658,,-0.4313876032829284,,,,6.8971999032156805,,,,-6.407845973968506,,,10.045490264892578,,10.732992172241213,,,,-3.038203648158482,,,,6.311827659606934,,,-0.001286044716835,,0.471209853887558,,,,0.0430165193974971,,,,Salvador Perez,7304,521692,2024-04-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Travis d'Arnaud,ATL,1,4.0,0,1,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.25,0.2204276770353317,,36.83659163590368,-0.0178817464038729,-0.3200068641458004,0.0743484813719987,-0.0116020451326901,Travis d'Arnaud,ATL,2024.0,35.0,1.0,4.0,4.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.25,3.0,1.0,0.0,0.0,13.0,5.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.5,0.0,0.25,3.0,0.0,0.75,0.25,0.0,0.0,0.0,0.0,0.2204276770353317,-0.288949332200393,0.1789629543196112,-0.3021251177419274,0.003280708566308,0.1209479197859764,0.0710677728056907,-0.1123383054513781,-0.0116020451326901,-0.0928163610615211,2.64285714,36.83659163590368,-0.0729200094938278,-0.0764039754867553,0.0034839678555727,-1.7330000400543213,-0.1761178821325302,0.5126999616622925,,0.0,-0.0721544846892356,-0.0700729679078041,0.53846154,92.14285714,0.46153846,80.66666667,,,,,,,,,,,,,-0.721566915512085,-0.0611491352319717,,,,,,-10.308098793029783,-1.0191522538661957,,,,,,0.25,0.8,0.46153846,1.0,1.0,1.0,0.38461538,0.75,0.0,-0.0178817464038729,0.15384615,,,,,0.38461538,0.46153846,,,,,,,,95.8000030517578,,,,,90.77999877929688,80.58333333333333,,,,,,,-4.226581573486328,,,,,-8.840579223632812,4.517311414082845,,,,,,,9.110172271728516,,,,,5.717202758789062,0.4323913256327311,,,,,,,0.471209853887558,,,,,-1.205967202782631,-0.060248389840126,,,,Travis d'Arnaud,7739,518595,2024-04-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
