Name,Pos,Team,Salary,My_Proj,Source,ML_Prediction,PPG_Projection,Prob_Over_5,Prob_Over_10,Prob_Over_15,Prob_Over_20,Prob_Over_25,Prob_Over_30,Prob_Over_35,Prob_Over_40,Prob_Over_45,Prob_Over_50
Tyler Glasnow,P,LAD,10500,20.4,PPG_Projection,20.4,20.4,,,,,,,,,,
Carlos Rodon,P,NYY,10300,17.4,PPG_Projection,17.4,17.4,,,,,,,,,,
Myles Straw,OF,TOR,3000,17.343397439468575,ML_Model,17.343397439468575,5.4,93.9%,82.1%,61.5%,37.0%,16.9%,5.7%,1.4%,0.2%,0.0%,0.0%
Mookie Betts,SS,LAD,5200,16.55745909475703,ML_Model,16.55745909475703,9.7,92.6%,79.4%,57.7%,33.3%,14.6%,4.6%,1.1%,0.2%,0.0%,0.0%
Kody Clemens,1B,MIN,3300,16.51289944645557,ML_Model,16.51289944645557,6.9,92.5%,79.2%,57.5%,33.1%,14.4%,4.6%,1.0%,0.2%,0.0%,0.0%
Jorge Soler,OF,LAA,3600,16.450762250827843,ML_Model,16.450762250827843,1.5,92.4%,79.0%,57.2%,32.9%,14.3%,4.5%,1.0%,0.2%,0.0%,0.0%
Gabriel Moreno,C,ARI,4200,16.147192559769515,ML_Model,16.147192559769515,7.4,91.8%,77.9%,55.7%,31.5%,13.4%,4.2%,0.9%,0.1%,0.0%,0.0%
Jo Adell,OF,LAA,4700,15.73482694462918,ML_Model,15.73482694462918,9.2,91.0%,76.3%,53.7%,29.7%,12.3%,3.7%,0.8%,0.1%,0.0%,0.0%
Shane Bieber,P,TOR,10100,15.2,PPG_Projection,15.2,15.2,,,,,,,,,,
Brice Matthews,2B,HOU,3100,15.185737477998009,ML_Model,15.185737477998009,1.5,89.9%,74.2%,50.9%,27.4%,11.0%,3.2%,0.7%,0.1%,0.0%,0.0%
Coby Mayo,1B,BAL,2400,14.918243220281076,ML_Model,14.918243220281076,6.2,89.2%,73.1%,49.6%,26.3%,10.4%,3.0%,0.6%,0.1%,0.0%,0.0%
Framber Valdez,P,HOU,9200,14.9,PPG_Projection,14.9,14.9,,,,,,,,,,
George Kirby,P,SEA,9900,14.8,PPG_Projection,14.8,14.8,,,,,,,,,,
Jack Leiter,P,TEX,8000,14.8,PPG_Projection,14.8,14.8,,,,,,,,,,
Yu Darvish,P,SD,7400,14.5,PPG_Projection,14.5,14.5,,,,,,,,,,
Jerar Encarnacion,OF,SF,2800,14.487484251264185,ML_Model,14.487484251264185,1.5,88.2%,71.3%,47.4%,24.5%,9.4%,2.6%,0.5%,0.1%,0.0%,0.0%
Salvador Perez,C,KC,4100,14.315956692828454,ML_Model,14.315956692828454,7.4,87.8%,70.5%,46.6%,23.9%,9.1%,2.5%,0.5%,0.1%,0.0%,0.0%
Aaron Nola,P,PHI,7600,14.3,PPG_Projection,14.3,14.3,,,,,,,,,,
Yainer Diaz,C,HOU,3100,13.968784149714814,ML_Model,13.968784149714814,6.5,86.9%,69.0%,44.9%,22.5%,8.4%,2.3%,0.4%,0.1%,0.0%,0.0%
Zac Gallen,P,ARI,8000,13.9,PPG_Projection,13.9,13.9,,,,,,,,,,
Otto Kemp,3B,PHI,3100,13.890797328349004,ML_Model,13.890797328349004,1.5,86.7%,68.7%,44.5%,22.3%,8.2%,2.2%,0.4%,0.1%,0.0%,0.0%
Kyle Schwarber,OF,PHI,5800,13.656429363954445,ML_Model,13.656429363954445,9.5,86.0%,67.6%,43.3%,21.4%,7.8%,2.1%,0.4%,0.0%,0.0%,0.0%
Brandon Marsh,OF,PHI,3400,13.429306503018664,ML_Model,13.429306503018664,8.8,85.4%,66.6%,42.2%,20.6%,7.4%,1.9%,0.4%,0.0%,0.0%,0.0%
Junior Caminero,3B,TB,5800,13.417566878813764,ML_Model,13.417566878813764,8.0,85.4%,66.5%,42.2%,20.5%,7.4%,1.9%,0.3%,0.0%,0.0%,0.0%
Trea Turner,SS,PHI,4600,13.326177563384524,ML_Model,13.326177563384524,1.5,85.1%,66.1%,41.7%,20.2%,7.2%,1.9%,0.3%,0.0%,0.0%,0.0%
